10.1002,"Wiley Blackwell (John Wiley & Sons)","111 River Street Hoboken, NJ 07030 USA"
10.1155,"Hindawi Publishing Corporation","Nasr City Free Zone Cairo, 11816 Egypt"
10.1142,"World Scientific","No 5 Toh Tuck Link 596224 Singapore"
10.1111,"Wiley Blackwell (Blackwell Publishing)","111 River Street Hoboken, NJ 07030 USA"
10.3109,"Informa UK (Informa Healthcare)",
10.1007,Springer-Verlag,"Van Godewijckstraat 30 Dordrecht, GX 3311 The Netherlands"
10.1016,Elsevier,"360 Park Ave South New York, NY 10010 USA"
10.3402,"Co-Action Publishing","Haggebyholmsvagen 5 Balsta, 74694 Sweden"
10.1017,"Cambridge University Press","The Edinburgh Bldg Shaftesbury Rd Cambridge, CB2 2RU UK"
10.1080,"Informa UK (Taylor & Francis)","4 Park Square Milton Park, Abingdon, OXON OX14 4RN UK"
10.1067,"Elsevier - Mosby","360 Park Ave South New York, NY 10010 USA"
10.1177,"Sage Publications","2455 Teller Road Thousand Oaks, CA 91320 USA"
10.1097,"Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins","Ovid Technologies 333 Seventh Ave., 20th fl New York, NY 10001 USA"
10.1042,"Portland Press","Charles Darwin House 12 Roger St. London, WC1N 2JU UK"
10.1093,"Oxford University Press","Academic Division Journals Great Clarendon Street Oxford, OX2 6DP UK"
10.1038,"Nature Publishing Group","75 Varick Street 9th Floor New York, NY 10013-1917 USA"
10.1006,"Elsevier - Academic Press","360 Park Ave South New York, NY 10010 USA"
10.5194,"Copernicus GmbH","Bahnhofsalle 1e Gottingen, 37081 Germany"
10.1140,Springer-Verlag,"Van Godewijckstraat 30 Dordrecht, GX 3311 The Netherlands"
10.1051,"EDP Sciences","17 av. du Hoggar PA de Courtaboeuf BP 112 Les Ulis cedex A, 91944 France"
10.4171,"European Mathematical Society Publishing House","ETH-Zentrum FLI C4 CH-8092 Zurich, Switzerland"
10.2350,"Society for Pediatric Pathology","3643 Walton Way Extension Augusta, GA 30909 USA"
10.3390,"MDPI AG","Postfach Basel, CH-4005 Switzerland"
10.2134,"American Society of Agronomy","5585 Guilford Rd. Madison, WI 53711 USA"
10.1055,"Thieme Publishing Group","Ruedigerstrasse 14 Stuttgart, 70469 Germany"
