prefix,publisher,journals,dois
10.12679,,0,0
10.7579,"123Doc Education",0,0
10.3731,"21st Century COE Program (Toplogical Science and Technology)",1,40
10.5775,"A. I. Rosu Cultural Scientific Foundation Fundatia cultural-stiintifica A. I. Rosu",1,80
10.4037,"AACN Publishing",2,766
10.1306,AAPG/Datapages,4,21817
10.3183,"AB Svensk Papperstidning",1,1550
10.5769,"ABEAT - Associacao Brasileira de Especialistas em Alta Tecnologia",1,57
10.7597,"ACOPIOS - Revista Iberica de Mineralogia",1,9
10.4183,"ACTA Endocrinologica Foundation",1,451
10.2316,"ACTA Press",12,1915
10.4149,"AEPress, s.r.o.",7,1448
10.7494,"AGH University of Science and Technology Press",11,372
10.12781,"AI Practitioner Journal",1,30
10.11156,"AIBR - Asociacion de Antropologos Iberoamericanos en Red",1,28
10.4156,AICIT,18,13819
10.3194,"AIS Educator Association",0,0
10.5381,"AITO - Association Internationale pour les Technologies Objets",1,840
10.5824,"AJIT-E Academic Journal of Information Technology",1,52
10.1087,"ALPSP -Association of Learned and Professional Society Publishers",1,921
10.7756,"AMS Press, Inc.",2,119
10.7205,AMSUS,1,48
10.5418,"ANPEGE - Revista",1,75
10.7784,"ANPTUR - Associacao Nacional de Pesquisa e Pos Graducao em Turismo",1,13
10.13061,ANPUR,0,0
10.4102,"AOSIS Open Journals",24,12844
10.7139,"AOTA Press",0,0
10.5014,"AOTA Press",1,5936
10.7140,"AOTA Press (AOTA Continuing Education)",0,0
10.7145,"AOTA Press (AOTA Special Interest Section Quarterlies)",0,0
10.7138,"AOTA Press (OT Practice Magazine)",1,20
10.5196,APGF-IFGW/UNICAMP,2,135
10.11128,"ARGESIM Arbeitsgemeinschaft Simulation News",0,0
10.1115,"ASME International",32,83282
10.1520,"ASTM International",9,9277
10.4261,"AVES - Turkish Society of Radiology",0,0
10.5152,"AVES Publishing Co.",27,4001
10.4170,"AVES Publishing Co. Akademik Acil Tip Dergisi/Journal of Academic Emergency Medicine",1,105
